timeList,value
"29,11,2017,16,08,00",3057
"29,11,2017,16,08,06",3073
"29,11,2017,16,14,46",3089
"29,11,2017,16,14,53",3105
"29,11,2017,16,15,02",3121
"29,11,2017,16,15,06",3137
"29,11,2017,16,15,10",3153
"29,11,2017,16,15,33",3169
"29,11,2017,16,15,36",3185
"29,11,2017,16,15,40",3201
"29,11,2017,16,15,42",3217
"29,11,2017,16,15,45",3233
"29,11,2017,16,15,50",3249
"29,11,2017,16,15,51",3265
"29,11,2017,16,15,56",3281
"29,11,2017,16,18,05",3297
"29,11,2017,16,18,12",3313
"29,11,2017,16,18,13",3329
"29,11,2017,16,18,16",3345
"29,11,2017,16,21,26",3361
"29,11,2017,16,21,36",3377
"29,11,2017,16,21,37",3393
"29,11,2017,16,21,37",3409
"29,11,2017,16,21,37",3425
"29,11,2017,16,21,37",3441
"29,11,2017,16,21,38",3457
"29,11,2017,16,21,38",3473
"29,11,2017,16,21,38",3489
"29,11,2017,16,21,38",3505
"29,11,2017,16,21,38",3521
"29,11,2017,16,21,41",3537
"29,11,2017,16,21,42",3553
"29,11,2017,16,21,42",3569
"29,11,2017,16,21,42",3585
"29,11,2017,16,21,42",3601
"29,11,2017,16,21,43",3617
"29,11,2017,16,21,43",3633
"29,11,2017,16,21,43",3649
"29,11,2017,16,21,43",3665
"29,11,2017,16,21,44",3681
"29,11,2017,16,21,44",3697
"29,11,2017,16,21,44",3713
"29,11,2017,16,21,44",3729
"29,11,2017,16,21,44",3745
"29,11,2017,16,21,44",3761
"29,11,2017,16,21,44",3777
"29,11,2017,16,21,44",3793
"29,11,2017,16,21,44",3809
"29,11,2017,16,21,45",3825
"29,11,2017,16,21,45",3841
"29,11,2017,16,21,45",3857
"29,11,2017,16,21,47",3873
"29,11,2017,16,21,48",3889
"29,11,2017,16,21,49",3905
"29,11,2017,16,21,57",3921
"29,11,2017,16,22,07",3937
"29,11,2017,16,22,20",3953
"29,11,2017,16,22,20",3969
"29,11,2017,16,22,24",3985
"29,11,2017,16,22,31",4001
"29,11,2017,16,22,31",4017
"29,11,2017,16,22,32",4033
"29,11,2017,16,22,32",4049
"29,11,2017,16,22,38",4065
"29,11,2017,16,22,39",4081
"29,11,2017,16,22,39",4097
"29,11,2017,16,22,39",4113
"29,11,2017,16,22,39",4129
"29,11,2017,16,22,41",4145
"29,11,2017,16,22,41",4161
"29,11,2017,16,22,41",4177
"29,11,2017,16,22,41",4193
"29,11,2017,16,22,43",4209
"29,11,2017,16,22,51",4225
"29,11,2017,16,22,51",4241
"29,11,2017,16,22,52",4257
"29,11,2017,16,22,56",4273
"29,11,2017,16,22,57",4289
"29,11,2017,16,22,57",4305
"29,11,2017,16,22,59",4321
"29,11,2017,16,23,00",4337
"29,11,2017,16,23,00",4353
"29,11,2017,16,23,09",4369
"29,11,2017,16,23,10",4385
"29,11,2017,16,23,11",4401
"29,11,2017,16,23,11",4417
"29,11,2017,16,23,11",4433
"29,11,2017,16,23,11",4449
"29,11,2017,16,23,11",4465
"29,11,2017,16,23,11",4481
"29,11,2017,16,23,12",4497
"29,11,2017,16,23,12",4513
"29,11,2017,16,23,13",4529
"29,11,2017,16,23,13",4545
"29,11,2017,16,23,22",4561
"29,11,2017,16,23,23",4578
"29,11,2017,16,23,23",4594
"29,11,2017,16,23,24",4610
"29,11,2017,16,23,48",4626
"29,11,2017,16,23,48",4642
"29,11,2017,16,23,49",4658
"29,11,2017,16,23,49",4674
"29,11,2017,16,23,49",4690
"29,11,2017,16,23,50",4706
"29,11,2017,16,23,50",4722
"29,11,2017,16,23,51",4738
"29,11,2017,16,23,51",4754
"29,11,2017,16,23,51",4770
"29,11,2017,16,23,56",4786
"29,11,2017,16,28,11",4802
"29,11,2017,16,28,11",4818
"29,11,2017,16,28,12",4834
"29,11,2017,16,28,12",4850
"29,11,2017,16,28,12",4866
"29,11,2017,16,28,12",4882
"29,11,2017,16,28,12",4898
"29,11,2017,16,28,13",4914
"29,11,2017,16,28,13",4930
"29,11,2017,16,28,13",4946
"29,11,2017,16,28,21",4962
"29,11,2017,16,28,40",4978
"29,11,2017,16,29,12",4994
"29,11,2017,16,37,50",5010
"29,11,2017,16,37,51",5026
"29,11,2017,16,37,51",5042
"29,11,2017,16,37,51",5058
"29,11,2017,16,37,54",5074
"29,11,2017,16,37,54",5090
"29,11,2017,16,38,16",5106
"29,11,2017,16,38,27",5122
"29,11,2017,16,38,30",5138
"29,11,2017,16,40,36",5154
"29,11,2017,16,40,44",5170
"29,11,2017,16,40,45",5186
"29,11,2017,16,40,45",5202
"29,11,2017,16,43,36",5218
"29,11,2017,16,43,37",5234
"29,11,2017,16,43,40",5250
"29,11,2017,16,43,48",5266
"29,11,2017,16,43,54",5282
"29,11,2017,16,44,05",5298
"29,11,2017,16,44,06",5314
"29,11,2017,16,44,17",5330
"29,11,2017,16,44,21",5346
"29,11,2017,16,44,25",5362
"29,11,2017,16,44,34",5378
"29,11,2017,16,44,41",5394
"29,11,2017,16,44,43",5410
"29,11,2017,16,45,00",5426
"29,11,2017,16,45,00",5442
"29,11,2017,16,45,01",5458
"29,11,2017,16,45,01",5474
"29,11,2017,16,45,01",5490
"29,11,2017,16,45,02",5506
"29,11,2017,16,45,02",5522
"29,11,2017,16,45,02",5538
"29,11,2017,16,45,02",5554
"29,11,2017,16,45,02",5570
"29,11,2017,16,45,06",5586
"29,11,2017,16,45,40",5602
"29,11,2017,16,45,41",5618
"29,11,2017,16,45,56",5634
"29,11,2017,16,45,56",5650
"29,11,2017,16,46,06",5666
"29,11,2017,16,46,07",5682
"29,11,2017,16,46,17",5698
"29,11,2017,16,46,19",5714
"29,11,2017,16,46,29",5730
"29,11,2017,16,46,29",5746
"29,11,2017,17,00,05",5762
"29,11,2017,17,00,06",5778
"29,11,2017,17,00,06",5794
"29,11,2017,17,00,06",5810
"29,11,2017,17,00,06",5826
"29,11,2017,17,00,06",5842
"29,11,2017,17,00,06",5858
"29,11,2017,17,00,06",5874
"29,11,2017,17,00,08",5890
"29,11,2017,17,00,08",5906
"29,11,2017,17,01,06",5922
"29,11,2017,17,24,02",5938
"29,11,2017,17,24,02",5954
"29,11,2017,17,24,03",5970
"29,11,2017,17,24,03",5986
"29,11,2017,17,24,03",6002
"29,11,2017,17,24,03",6018
"29,11,2017,17,24,03",6034
"29,11,2017,17,24,03",6050
"29,11,2017,17,24,03",6066
"29,11,2017,17,24,04",6082
"29,11,2017,17,24,08",6098
"29,11,2017,17,25,09",6114
"29,11,2017,17,25,12",6130
"29,11,2017,17,30,21",6146
"29,11,2017,17,31,21",6162
"29,11,2017,17,32,02",6178
"29,11,2017,17,32,04",6194
"29,11,2017,17,32,16",6210
"29,11,2017,17,32,16",6226
"29,11,2017,17,32,17",6242
"29,11,2017,17,32,17",6258
"29,11,2017,17,32,43",6274
"29,11,2017,17,33,04",6290
"29,11,2017,17,34,26",6306
"29,11,2017,17,34,32",6322
"29,11,2017,17,35,39",6338
"29,11,2017,17,35,43",6354
"29,11,2017,17,36,02",6370
"29,11,2017,17,36,10",6386
"29,11,2017,17,39,42",6402
"29,11,2017,17,39,50",6418
"29,11,2017,17,45,41",6434
"29,11,2017,17,45,41",6450
"29,11,2017,17,45,42",6466
"29,11,2017,17,48,00",6482
"29,11,2017,17,48,48",6498
"29,11,2017,17,48,49",6514
"29,11,2017,17,48,49",6530
"29,11,2017,17,48,49",6546
"29,11,2017,17,48,49",6562
"29,11,2017,17,48,49",6578
"29,11,2017,17,48,49",6594
"29,11,2017,17,48,49",6610
"29,11,2017,17,48,49",6626
